Nazwisko;Imie;Osiagniecia;Zachowanie;JP;Mat;Biol;Geog;GHP;GHH;GMM;GMP;GJP
Swistek;Damian;0;4;4;5;6;6;62;13;26;67;62
Kowalik;Mateusz;7;4;4;2;5;6;90;8;21;52;33
Hintzke;Nikola;7;4;4;6;6;5;96;99;16;85;65
Grzelecki;Oliwier;8;6;4;4;3;5;17;100;100;100;31
Hinz;Nikola;5;4;2;4;5;4;20;28;58;86;48
Wasiluk;Bartlomiej;7;3;2;2;2;3;77;10;11;72;78
Wasilewski;Bartlomiej;8;6;6;5;5;2;75;25;5;3;58
Silakowski;Henryk;6;6;2;5;5;3;12;17;14;4;3
Kaftan;Monika;1;6;6;2;3;6;1;3;69;89;10
Pettka;Jan;0;5;3;6;6;4;28;53;38;63;70
Zygmunt;Adam;4;3;3;6;6;2;77;8;71;88;41
Lukasik;Magdalena;4;6;5;6;3;6;83;27;79;20;43
Hanczarek;Olivier;1;3;6;3;3;2;16;43;92;54;27
Samulczyk;Julia;6;6;5;3;2;6;11;36;4;41;62
Rutkiewicz;Julia;5;2;4;2;3;5;80;75;60;54;69
Bialaszewski;Piotr;8;6;4;3;4;5;22;46;36;35;91
Berezniewicz;Wiktor;2;5;3;5;6;3;47;30;2;45;76
Sobol;Filip;8;4;3;4;6;2;23;49;16;3;81
Kowalczyk;Mateusz;1;6;6;6;3;2;14;20;14;64;55
Senger;Joanna;5;4;3;3;3;6;98;48;6;70;6
Sadowska;Julia;3;3;2;3;3;2;38;71;35;95;84
Wojcicki;Aleks;7;4;6;4;6;5;95;100;100;40;100
Szczepkowski;Dorian;7;2;4;5;3;4;59;14;99;4;3
Stanislawska;Hanna;3;3;5;5;2;6;26;14;18;96;41
Salanowska;Julia;8;6;3;4;2;4;8;78;64;10;55
Skrzydlak;Izabela;3;5;2;4;3;6;41;37;5;34;93
Koszlaga;Mateusz;4;6;4;3;2;3;60;7;97;80;43
Glowinska;Patrycja;1;4;5;4;2;5;53;18;94;99;76
Sautycz;Julia;5;3;3;4;6;6;84;87;96;8;17
Kowalczuk;Maria;2;3;5;2;2;5;6;43;53;71;3
Sochacka;Inka;0;2;6;5;6;3;89;40;28;32;47
Filarska;Sandra;0;5;6;4;4;2;22;9;1;76;28
Przestrzelski;Jakub;6;3;2;2;2;4;82;95;8;46;76
Labuda;Marcel;7;3;2;4;4;2;67;26;50;90;34
Broukin;Zofia;2;2;6;5;4;5;34;59;59;7;1
Kozlowska;Malgorzata;4;6;5;5;6;4;56;75;51;47;71
Jakubowski;Nikodem;6;4;5;5;5;4;70;71;27;77;13
Sarnowski;Ignacy;2;2;4;4;4;6;30;55;59;77;58
Riegel;Julia;5;6;6;6;5;5;57;22;16;20;67
Wierzbicki;Antoni;6;2;5;3;3;6;67;98;28;6;20
Sachse;Julia;7;4;6;4;3;3;12;86;61;94;74
Kowalczyk;Mateusz;0;3;4;3;5;2;82;70;18;28;34
Jurewicz;Nadia;8;5;4;6;2;6;32;88;15;45;24
Steinborn;Hanna;2;2;5;5;2;2;65;87;53;98;50
Siminski;Henryk;3;2;3;3;6;6;10;21;35;98;21
Machalski;Maciej;2;3;6;3;6;3;53;50;16;44;8
Porydzaj;Jakub;1;5;3;6;4;4;38;43;49;89;16
Spanowski;Filip;6;6;4;6;5;3;99;95;48;16;11
Zmurko;Adam;6;5;6;5;6;3;78;22;95;18;15
Sibiga;Joanna;6;3;3;6;4;5;25;73;78;61;29
Makowska;Luiza;6;5;5;6;2;4;65;66;87;5;65
Machol;Maciej;8;2;2;3;4;3;18;83;86;67;90
Szmitko;Dominik;0;3;4;6;4;4;41;88;4;24;37
Leman;Maja;7;3;4;4;5;6;54;42;82;99;81
Rembisz;Jakub;3;6;5;2;4;6;51;96;78;72;39
Stankiewicz;Hanna;8;6;2;2;6;6;86;67;94;38;45
Zurek;Adam;7;5;6;4;6;5;15;79;11;20;58
Reczmin;Jakub;3;6;3;5;5;2;49;99;78;70;60
Swierszcz;Cyprian;3;6;3;5;4;2;94;27;20;13;49
Wizniewski;Antoni;8;4;5;6;6;2;94;99;87;99;62
Perez ;Karolina;8;2;4;5;2;4;20;78;54;34;95
Adamiak;Zofia;5;2;4;5;5;3;39;16;8;66;29
Zylinska;Adelajda;0;6;3;5;4;2;77;80;92;43;100
Kulkowska;Maja;1;4;6;3;4;2;70;39;65;57;90
Dzierzak;Piotr;0;4;5;4;6;2;4;85;83;10;33
Engel;Urszula;8;5;5;4;3;3;80;91;16;12;73
Yuksek;Adrian;6;6;2;3;6;5;27;6;19;61;63
Zdrojewska;Agata;0;5;5;3;2;6;26;23;48;73;63
Zgadzaj;Agata;8;3;5;5;6;3;28;69;99;45;61
Zawisza;Adrian;1;2;3;2;3;6;51;14;33;28;43
Duszota;Piotr;3;5;6;5;2;5;73;84;48;36;4
Nowak;Kacper;4;4;5;5;3;6;44;16;68;55;66
Lyszcz;Maciej;2;6;6;3;6;2;71;95;90;50;91
Strack;Filip;5;5;2;6;2;2;90;88;73;83;51
Mazurkiewicz;Lena;1;5;2;2;3;5;11;24;35;70;6
Potocki;Jakub;5;2;2;6;5;6;44;43;19;86;18
Furmaniak;Pawel;2;5;4;3;6;6;15;69;48;14;32
Strupiechowski;Filip;6;3;4;5;3;4;38;48;3;38;91
Reclaw;Julia;3;6;3;6;3;5;66;42;40;91;74
Tomaszewski;Bruno;7;4;2;4;6;5;28;1;36;63;49
Szczepanska;Emilia;0;6;5;6;5;6;12;20;10;73;68
Spychala;Filip;4;5;4;2;3;4;21;58;66;93;89
Szczucki;Dominik;0;2;2;4;3;3;3;25;93;92;73
Marzec;Lena;4;4;2;6;5;2;81;5;60;2;91
Rembiewski;Jakub;1;4;6;4;3;6;100;100;100;36;10
Geszczynski;Patryk;2;3;3;5;6;6;32;27;15;59;26
Wamka;Anastazja;3;5;2;6;3;3;95;15;44;29;14
Bialkowska;Monika;2;4;2;6;4;4;84;95;31;8;54
Kulakowski;Marcjusz;5;2;3;4;3;6;30;24;66;41;82
Przytula;Jakub;1;3;6;4;6;2;30;35;100;100;100
Bsk;Arleta;1;5;4;2;5;6;54;50;9;59;54
Derek;Stanislaw;6;2;3;5;4;4;50;30;14;20;88
Felisiak;Sofie;6;3;6;5;4;5;62;47;19;10;40
Lupa;Maksymilian;0;3;6;3;5;6;12;60;63;37;71
Wojciechowska;Alicja;2;3;2;2;3;2;56;63;26;92;13
Pieterson;Jan;5;5;6;6;5;6;45;97;5;73;12
Hrywniak;Olaf;2;4;5;2;4;6;96;60;4;45;21
Ciosinski;Jacek;7;3;3;6;5;5;57;31;22;59;61
Helinska;Nikola;5;6;4;2;5;5;18;86;25;29;9
Frankowska;Roksana;5;4;6;2;5;4;93;47;47;34;39
Brydzinski;Mariusz;3;6;2;3;2;6;89;30;43;25;1
Mrozik;Lena;6;2;3;2;3;6;67;74;49;43;52
Klein;Michalina;8;3;2;6;5;3;41;29;52;81;26
Strehlke;Filip;8;2;4;3;5;4;32;83;14;77;71
Ciesielska;Wiktoria;6;5;2;6;6;4;48;39;45;39;59
Wydrzynski;Adrian;1;3;2;3;5;2;11;23;92;50;36
Beniuszys;Mikolaj;0;5;3;5;2;5;20;51;64;67;72
Witkowski;Andrea;7;4;6;2;5;5;90;9;61;28;92
Dsbrowski;Stanislaw;4;2;6;6;6;4;91;63;88;68;75
Procinska;Julianna;3;3;4;5;6;3;59;13;14;22;96
Radziszewski;Jakub;1;3;3;4;3;4;7;13;73;73;78
Kolodziejczyk;Marta;7;3;6;2;4;6;39;69;10;10;91
Radomski;Jakub;5;6;4;3;5;2;18;29;18;5;64
Lange;Maja;3;3;3;6;2;2;80;5;4;59;5
Kornatowski;Mateusz;2;4;6;3;6;6;72;51;1;33;91
Pistek;Jan;1;4;4;3;3;6;25;23;20;93;78
Bialkowska;Kamila;4;5;5;3;5;2;79;53;97;34;92
Jurczyk;Nadia;4;2;6;4;3;2;13;81;58;45;11
Cieslik;Stanislaw;5;2;3;3;2;6;93;31;9;50;41
Trzebiatowska;Anna;2;2;2;2;2;2;10;93;88;23;43
Kluziak;Matylda;0;3;3;2;3;6;7;69;31;13;61
Mierzejewski;Kornel;5;3;2;2;4;6;24;79;99;6;89
Szreder;Dawid;7;2;2;4;4;6;57;11;80;27;21
Rybinski;Igor;7;6;6;2;2;4;2;65;47;64;89
Burza;Stanislaw;6;4;5;3;6;2;46;75;6;45;9
Wojcik;Aleks;8;3;6;4;5;2;8;35;65;30;5
Pawelec;Jan;3;6;6;3;4;5;35;1;100;65;86
Micun;Krzysztof;8;3;2;3;5;5;31;75;10;37;48
Jablonski;Nikodem;4;3;4;2;5;6;53;74;66;37;55
Kwidczynska;Maja;4;6;5;3;4;4;43;49;12;36;87
Leoniuk;Marcel;4;4;6;2;5;2;60;75;10;59;5
Tomaszewska;Anna;7;6;4;2;2;3;89;29;58;19;97
Kurasik;Marcin;5;6;5;3;5;3;61;95;36;86;36
Grzsdzielska;Nina;7;6;2;3;3;2;2;9;56;86;71
Krynicki;Mateusz;6;2;4;5;6;4;21;73;39;28;25
Miszkin;Lena;0;5;2;4;3;3;52;74;79;92;69
Wilk;Amelia;1;2;2;4;5;3;97;51;38;17;5
Gibas;Patryk;3;3;2;5;3;5;68;38;31;14;54
Nowakowska;Kornelia;7;6;2;5;6;5;19;56;50;43;66
Broszkow;Zofia;6;6;5;3;2;3;16;95;97;62;46
Jama;Nikodem;6;5;3;2;3;5;55;2;64;13;72
Chojnacki;Jacek;6;2;4;3;3;2;54;83;36;27;21
Klebba;Michalina;1;5;2;2;4;5;19;92;24;32;91
Tomczyk;Bruno;7;3;2;3;5;6;25;14;19;95;91
