"id_klienta"	"imie"	"nazwisko"	"prefix_nip"	"NIP"	"wojewodztwo"	"kod"	"miejscowosc"	"ulica"	"nr_domu"
"AbEl4405"	"Abdiasz"	"Eleryk"	295	"295-255-15-53"	"zachodniopomorskie"	"12-200"	"Pila"	"ul. 3 Maja"	86
"AbJa18498"	"Abel"	"Japin"	933	"933-436-93-36"	"lubuskie"	"39-200"	"Lublin"	"Al. Marszalka Ferdinanda Focha"	133
"AbKr3493"	"Abercjusz"	"Krempin"	254	"254-932-42-69"	"mazowieckie"	"74-506"	"Brzeg"	"Al. Zakochanych"	69
"AbMo14159"	"Abdiasz"	"Modlek"	738	"738-217-37-36"	"mazowieckie"	"62-601"	"Dobsko"	"ul. 11 Listopada"	102
"AbNa170"	"Abigail"	"Narbut"	107	"107-686-86-33"	"slaskie"	"82-200"	"lodz"	"Al. Hetmanska"	51
"AbPi16557"	"Abel"	"Pieszczenik"	844	"844-281-25-90"	"slaskie"	"41-250"	"Mielno"	"Pl. Katedralny Imienia Jana Pawla II"	8
"Absw5467"	"Abigail"	"swiecichowski"	344	"344-445-15-810"	"lodzkie"	"99-350"	"Sobolewo"	"ul. Akacjowa"	57
"AcKo6153"	"Achilles"	"Kolej"	373	"373-682-69-79"	"lubuskie"	"42-141"	"Golkow"	"ul. Akacjowa"	74
"AcMu8904"	"Achacy"	"Musterer"	501	"501-114-79-10"	"zachodniopomorskie"	"43-318"	"Klobuck"	"ul. Alojzego"	13
"AcPi9448"	"Achacjusz"	"Piedech"	524	"524-969-46-15"	"warminsko-mazurskie"	"60-419"	"Krotoszyn"	"Pl. Kilinskiego Jana"	129
"AcWi15113"	"Achacjusz"	"Wicenski"	781	"781-299-53-30"	"dolnoslaskie"	"95-100"	"Helenowek"	"Pl. Kopernika"	46
"AdAl5562"	"Adolfina"	"Aleksowitz"	348	"348-274-11-26"	"slaskie"	"91-213"	"Krakow"	"Pl. Orla Bialego"	154
"AdAz17252"	"Adela"	"Azgier"	875	"875-127-91-91"	"lodzkie"	"05-304"	"Horoszki Duze"	"Os. Jagiellonskie"	105
"AdBa399"	"Adelajda"	"Baluszewski"	117	"117-637-86-44"	"mazowieckie"	"20-405"	"Warszawa"	"Al. Armii Ludowej"	38
