Klasa;ID_ucznia;Nazwisko;Imie;Plec
1a;u_1;Kozielski;Bartek;m
1a;u_2;Szews;Aleksander;m
1a;u_3;Wolska;Natalia;k
1a;u_4;Go³êbiewski;Marcin;m
1a;u_5;Chojnacka;Martyna;k
1a;u_6;Z³otowska;Dominika;k
1a;u_7;Dra¿niuk;Karolina;k
1a;u_8;Pardua;Kamila;k
1a;u_9;Woleñ;Ma³gorzata;k
1a;u_10;Garczyñska;Aleksandra;k
1a;u_11;Lebioda;Maciej;m
1a;u_12;Pietkun;Ewa;k
1a;u_13;Pera;Maria;k
1a;u_14;Górska;Sandra;k
1a;u_15;Andrzejewska;Milena;k
1a;u_16;£apka;Magdalena;k
1a;u_17;Tyczyñski;Miko³aj;m
1a;u_18;Zieliñska;Joanna;k
1a;u_19;Bukowska;Weronika;k
1a;u_20;Ciemiñski;Pawe³;m
1b;u_21;Wasilewska;Anna;k
1b;u_22;Mirus;Robert;m
1b;u_23;B³aszyk;Marta;k
1b;u_24;Lewandowska;Oliwia;k
1b;u_25;£obocka;Ma³gorzata;k
1b;u_26;Borowczak;Katarzyna;k
1b;u_27;Samoliñska;Aleksandra;k
1b;u_28;Wencka;Maciej;m
1b;u_29;M³ocicka;Patrycja;k
1b;u_30;Kuczyñska;Beata;k
1b;u_31;KaŸmierczak;Kinga;k
1b;u_32;£anoch;Marta;k
1b;u_33;Czerniak;Arkadiusz;m
1b;u_34;Kubista;Miko³aj;m
1b;u_35;Waryszewska;Aleksandra;k
1b;u_36;Ró¿añska;Dagmara;k
1b;u_37;Stolarska;Bogna;k
1b;u_38;Bartoszek;Justyna;k
1b;u_39;Lejer;Hanna;k
1b;u_40;Wysocka;Oliwia;k
1b;u_41;Lewandowska;Agata;k
1b;u_42;Wojtowicz;Marta;k
1c;u_43;Winkowska;Julita;k
1c;u_44;Zduñczuk;Stefania;k
1c;u_45;Wegner;Patrycja;k
1c;u_46;Pliszka;Klaudia;k
1c;u_47;Piórkowska;Justyna;k
