Id_ucznia	Imie	Nazwisko	Klasa
123/2011	Wojciech	Banasik	IV E
124/2011	Monika	Baranowska	IV E
125/2011	Janusz	Czerwinski	IV E
126/2011	Sebastian	Dabrowski	IV E
127/2011	Pawel	Grodzki	IV E
128/2011	Michal	Hardy	IV E
129/2011	Grzegorz	Henryszewski	IV E
130/2011	Justyna	Kaczmarek	IV E
131/2011	Mateusz	Kawicki	IV E
132/2011	Maria	Konopnicka	IV E
133/2011	Zygmunt	Kowalewicz	IV E
134/2011	Jan	Krata	IV E
135/2011	Anita	Krol	IV E
136/2011	Anna	Loch	IV E
137/2011	Michal	Lubanska 	IV E
138/2011	Dagmara	Luszczyk	IV E
139/2011	Piotr	Maruszkiewicz	IV E
140/2011	Aneta	Mucha	IV E
141/2011	Piotr	Rudnicki	IV E
142/2011	Jan	Siwicki	IV E
143/2011	Natalia	Skibniewska	IV E
144/2011	Agnieszka	Spracel	IV E
145/2011	Kamil	Taracinski	IV E
146/2011	Wojciech	Tobera	IV E
147/2011	Artur	Wawrzyniak	IV E
148/2011	Katarzyna	Wlodarczyk	IV E
149/2011	Mieczyslaw	Zajac	IV E
150/2011	Piotr	Borkowski	IV D
151/2011	Mateusz	Czapko	IV D
152/2011	Michal	Doruchowski	IV D
153/2011	Robert	Drzewek	IV D
154/2011	Tomasz	Glowacki	IV D
155/2011	Zygmunt	Gorecki	IV D
156/2011	Karol	Grzegorzewski	IV D
157/2011	Przemyslaw	Ignaczek	IV D
158/2011	Marta	Ignaczyk	IV D
159/2011	Sebastian	Kacprzak	IV D
160/2011	Karol	Kalisz	IV D
161/2011	Jaroslaw	Kaluzny	IV D
162/2011	Paulina	Kowalska	IV D
163/2011	Filip	Kozakiewicz	IV D
164/2011	Karolina	Kozica	IV D
165/2011	Olivia	Kurska	IV D
166/2011	Dorota	Lis	IV D
167/2011	Zofia	Milewska	IV D
168/2011	Beata	Ptak	IV D
169/2011	Krzysztof	Pyza	IV D
170/2011	Gorzegorz	Reszczynski	IV D
171/2011	Grzegorz	Slowanska	IV D
172/2011	Rudolf	Stanislawski	IV D
173/2011	Marek	Stawikowska	IV D
174/2011	Marek	Szyc	IV D
175/2011	Monika	Tomczak	IV D
176/2011	Piotr	Zawadzki	IV D
177/2011	Konrad	Banas	IV C
178/2011	Piotr	Bator	IV C
179/2011	Sebastian	Bugajski	IV C
180/2011	Kamila	Frukacz	IV C
181/2011	Adam	Fujarewicz	IV C
182/2011	Szymon	Gajewski	IV C
183/2011	Agata	Gnutek	IV C
184/2011	Slawomir	Jankowski	IV C
185/2011	Marcin	Kolo	IV C
186/2011	Barbara	Kopec	IV C
187/2011	Wojciech	Kot	IV C
